Fecha,Camas UCI ocupadas Covid-19
2020-09-01,1280
2020-09-02,1259
2020-09-03,1241
2020-09-04,1189
2020-09-05,1198
2020-09-06,1190
2020-09-07,1174
2020-09-08,1118
2020-09-09,1123
2020-09-10,1138
2020-09-11,1064
2020-09-12,1064
2020-09-13,1053
2020-09-14,1042
2020-09-15,1006
2020-09-16,1028
2020-09-17,986
2020-09-18,981
2020-09-19,968
2020-09-20,991
2020-09-21,978
2020-09-22,943
2020-09-23,936
2020-09-24,940
2020-09-25,880
2020-09-26,857
2020-09-27,812
2020-09-28,854
2020-09-29,838
2020-09-30,810
2020-10-01,814
2020-10-02,809
2020-10-03,786
2020-10-04,793
2020-10-05,808
2020-10-06,833
2020-10-07,821
2020-10-08,785
2020-10-09,804
2020-10-10,802
2020-10-11,806
2020-10-12,792
2020-10-13,783
2020-10-14,786
2020-10-15,793
2020-10-16,782
2020-10-17,790
2020-10-18,800
2020-10-19,817
2020-10-20,818
2020-10-21,817
2020-10-22,838
2020-10-23,843
2020-10-24,822
2020-10-25,833
2020-10-26,831
2020-10-27,821
2020-10-28,785
2020-10-29,831
2020-10-30,842
2020-10-31,849
2020-11-01,831
2020-11-02,825
2020-11-03,844
2020-11-04,806
2020-11-05,801
2020-11-06,782
2020-11-07,801
2020-11-08,793
2020-11-09,792
2020-11-10,767
2020-11-11,784
2020-11-12,820
2020-11-13,757
2020-11-14,772
2020-11-15,776
2020-11-16,762
2020-11-17,784
2020-11-18,790
2020-11-19,790
2020-11-20,779
2020-11-21,797
2020-11-22,822
2020-11-23,805
2020-11-24,834
2020-11-25,806
2020-11-26,795
2020-11-27,769
2020-11-28,812
2020-11-29,822
2020-11-30,826
2020-12-01,840
2020-12-02,834
2020-12-03,826
2020-12-04,831
2020-12-05,808
2020-12-06,823
2020-12-07,820
2020-12-08,826
2020-12-09,844
2020-12-10,838
2020-12-11,865
2020-12-12,881
2020-12-13,904
2020-12-14,882
2020-12-15,920
2020-12-16,932
2020-12-17,973
2020-12-18,953
2020-12-19,987
2020-12-20,1002
2020-12-21,1006
2020-12-22,1035
2020-12-23,1075
2020-12-24,1084
2020-12-25,1099
2020-12-26,1145
2020-12-27,1192
2020-12-28,1220
2020-12-29,1235
2020-12-30,1286
2020-12-31,1288
2021-01-01,1303
2021-01-02,1340
2021-01-03,1362
2021-01-04,1395
2021-01-05,1435
2021-01-06,1481
2021-01-07,1539
2021-01-08,1624
2021-01-09,1688
2021-01-10,1719
2021-01-11,1749
2021-01-12,1743
2021-01-13,1776
2021-01-14,1809
2021-01-15,1818
2021-01-16,1812
