date,Fallecidos_reales
2020-03-25,1
2020-03-26,3
2020-03-28,6
2020-03-29,7
2020-03-30,8
2020-03-31,10
2020-04-01,11
2020-04-02,15
2020-04-03,19
2020-04-04,29
2020-04-05,33
2020-04-06,39
2020-04-07,43
2020-04-08,45
2020-04-09,48
2020-04-10,51
2020-04-11,55
2020-04-12,56
2020-04-13,60
2020-04-14,66
2020-04-15,69
2020-04-16,73
2020-04-17,74
2020-04-18,76
2020-04-19,80
2020-04-20,83
2020-04-21,88
2020-04-22,89
2020-04-23,91
2020-04-24,95
2020-04-25,96
2020-04-26,102
2020-04-27,105
2020-04-28,110
2020-04-29,115
2020-04-30,122
2020-05-01,125
2020-05-02,128
2020-05-03,131
2020-05-04,136
2020-05-05,137
2020-05-06,144
2020-05-07,146
2020-05-08,150
2020-05-09,156
2020-05-10,163
2020-05-11,169
2020-05-13,172
2020-05-14,174
2020-05-15,181
2020-05-16,185
2020-05-17,188
2020-05-18,193
2020-05-19,198
2020-05-20,204
2020-05-21,213
2020-05-22,221
2020-05-23,230
2020-05-24,235
2020-05-25,239
2020-05-26,246
2020-05-27,252
2020-05-28,256
2020-05-29,267
2020-05-30,274
2020-05-31,283
2020-06-01,290
2020-06-02,296
2020-06-03,305
2020-06-04,316
2020-06-05,330
2020-06-06,339
2020-06-07,349
2020-06-08,362
2020-06-09,376
2020-06-10,387
2020-06-11,401
2020-06-12,409
2020-06-13,419
2020-06-14,437
2020-06-15,455
2020-06-16,469
2020-06-17,493
2020-06-18,501
2020-06-19,518
2020-06-20,529
2020-06-21,548
2020-06-22,568
2020-06-23,590
2020-06-24,611
2020-06-25,624
2020-06-26,635
2020-06-27,651
2020-06-28,657
